Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-5.2945,Tx-I-Rx,1,-79.3209,"1.00000 0.50000 7.50000, 4.26084 3.00000 6.68479, 7.00000 0.90000 6.00000"
2,-0.4987,Tx-I-Rx,1,-69.0854,"1.00000 0.50000 7.50000, 5.57769 0.92870 6.08242, 5.50000 0.90000 6.00000"
3,0.0000,Tx-Rx,0,-67.2114,"1.00000 0.50000 7.50000, 4.00000 0.90000 6.00000"
4,0.0000,Tx-Rx,0,-63.7269,"1.00000 0.50000 7.50000, 2.50000 0.90000 6.00000"
5,0.0000,Tx-Rx,0,-61.2472,"1.00000 0.50000 7.50000, 1.00000 0.90000 6.00000"
6,-5.2440,Tx-I-Rx,1,-73.5992,"1.00000 0.50000 7.50000, 1.74993 0.55000 8.00000, 7.00000 0.90000 4.50000"
7,-6.4348,Tx-I-Rx,1,-70.2534,"1.00000 0.50000 7.50000, 1.56244 0.55000 8.00000, 5.50000 0.90000 4.50000"
8,0.0000,Tx-Rx,0,-68.3933,"1.00000 0.50000 7.50000, 4.00000 0.90000 4.50000"
9,0.0000,Tx-Rx,0,-66.9343,"1.00000 0.50000 7.50000, 2.50000 0.90000 4.50000"
10,0.0000,Tx-Rx,0,-65.8320,"1.00000 0.50000 7.50000, 1.00000 0.90000 4.50000"
11,0.0000,Tx-Rx,0,-72.8302,"1.00000 0.50000 7.50000, 7.00000 0.90000 3.00000"
12,0.0000,Tx-Rx,0,-71.7562,"1.00000 0.50000 7.50000, 5.50000 0.90000 3.00000"
13,0.0000,Tx-Rx,0,-70.8279,"1.00000 0.50000 7.50000, 4.00000 0.90000 3.00000"
14,-6.6883,Tx-I-Rx,1,-69.3787,"1.00000 0.50000 7.50000, -0.00000 0.61428 6.21433, 2.50000 0.90000 3.00000"
15,0.0000,Tx-Rx,0,-68.8409,"1.00000 0.50000 7.50000, 1.00000 0.90000 3.00000"
16,-7.7405,Tx-I-Rx,1,-73.3385,"1.00000 0.50000 7.50000, 3.14272 0.00000 5.35728, 7.00000 0.90000 1.50000"
17,0.0000,Tx-Rx,0,-72.1515,"1.00000 0.50000 7.50000, 5.50000 0.90000 1.50000"
18,0.0000,Tx-Rx,0,-72.2423,"1.00000 0.50000 7.50000, 4.00000 0.90000 1.50000"
19,-5.2076,Tx-I-Rx,1,-71.2225,"1.00000 0.50000 7.50000, -0.00000 0.61428 5.78578, 2.50000 0.90000 1.50000"
20,-3.1067,Tx-I-Rx,1,-70.4760,"1.00000 0.50000 7.50000, -0.00000 0.69999 4.50008, 1.00000 0.90000 1.50000"
21,-7.9255,Tx-I-I-Rx,2,-75.3987,"1.00000 0.50000 7.50000, 1.57601 0.52384 8.00000, 8.77934 0.82202 1.74792, 7.00000 0.90000 -0.00000"
21,0.0000,Tx-Rx,0,-75.3987,"1.00000 0.50000 7.50000, 7.00000 0.90000 -0.00000"
22,0.0000,Tx-Rx,0,-73.7390,"1.00000 0.50000 7.50000, 5.50000 0.90000 -0.00000"
23,0.0000,Tx-Rx,0,-73.7075,"1.00000 0.50000 7.50000, 4.00000 0.90000 -0.00000"
