Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-80.9816,Tx-I-I-I-I-Rx,4,-66.4868,"1.00000 0.50000 7.50000, -0.00000 0.58611 -0.67992, 7.52388 0.68879 -7.00000, 8.00000 0.69529 -6.60011, -0.00000 0.80447 0.11995, 7.00000 0.90000 6.00000"
1,-74.3520,Tx-I-I-I-I-I-I-I-I-Rx,8,-66.4868,"1.00000 0.50000 7.50000, 3.90244 3.00000 1.89793, 6.90521 0.41311 -3.89725, 6.90907 0.60419 -7.00000, 6.92776 1.52798 8.00000, 6.94644 2.45177 -7.00000, 6.95753 3.00000 1.90109, 6.96512 2.62443 8.00000, 6.98381 1.70063 -7.00000, 7.00000 0.90000 6.00000"
1,-59.9782,Tx-I-I-I-I-I-I-I-I-I-I-I-Rx,11,-66.4868,"1.00000 0.50000 7.50000, 1.77979 3.00000 7.57356, 2.71554 0.00000 7.66182, 3.65128 3.00000 7.75009, 4.58701 0.00000 7.83836, 5.52274 3.00000 7.92662, 6.30005 0.50795 8.00000, 6.45847 0.00000 7.98506, 7.39420 3.00000 7.89678, 7.79549 1.71271 7.85822, 8.00000 2.28774 7.54276, 7.74677 3.00000 7.15205, 7.00000 0.90000 6.00000"
1,-82.5408,Tx-I-I-I-I-I-I-I-I-Rx,8,-66.4868,"1.00000 0.50000 7.50000, 2.04385 3.00000 8.00000, 7.07158 2.16339 -4.25119, 6.10596 1.97934 -7.00000, 0.83643 0.97493 8.00000, -0.00000 0.81551 5.61917, 4.27823 0.00000 -6.55929, 4.43304 0.02950 -7.00000, 8.00000 0.70939 3.15339, 7.00000 0.90000 6.00000"
2,-65.5559,Tx-I-I-I-I-I-I-I-Rx,7,-62.5868,"1.00000 0.50000 7.50000, 0.85715 3.00000 7.77096, 0.73643 0.88734 8.00000, 0.68573 0.00000 7.90383, 0.51431 3.00000 7.57865, 0.34289 0.00000 7.25347, 0.17147 3.00000 6.92829, -0.00000 0.00000 6.60311, 5.50000 0.90000 6.00000"
2,-18.5532,Tx-I-I-I-I-I-I-I-I-I-I-I-I-I-Rx,13,-62.5868,"1.00000 0.50000 7.50000, 2.02025 3.00000 6.17745, 3.24457 0.00000 4.59037, 4.46888 3.00000 3.00330, 5.69318 0.00000 1.41623, 6.91748 3.00000 -0.17083, 8.14177 0.00000 -1.75788, 8.32851 0.45758 -2.00000, 9.36605 3.00000 -0.65504, 10.00000 1.44676 0.16666, 9.71975 0.75996 0.52996, 8.80560 3.00000 1.71496, 7.58131 0.00000 3.30201, 6.35702 3.00000 4.88905, 5.50000 0.90000 6.00000"
2,-59.6273,Tx-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-Rx,15,-62.5868,"1.00000 0.50000 7.50000, -0.00000 1.58784 8.00000, -1.11665 3.00000 7.07296, -3.48894 0.00000 5.10351, -5.86120 3.00000 3.13407, -8.00000 0.29534 1.35849, -7.76650 0.00000 1.16464, -5.39423 3.00000 -0.80479, -3.02196 0.00000 -2.77422, -1.54549 1.86714 -4.00000, -0.64970 3.00000 -3.25632, 1.72258 0.00000 -1.28688, 4.09485 3.00000 0.68255, 6.46710 0.00000 2.65197, 8.00000 1.93844 3.92452, 7.16060 3.00000 4.62139, 5.50000 0.90000 6.00000"
2,-99.0569,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-62.5868,"1.00000 0.50000 7.50000, 8.00000 1.32601 -2.71704, 7.06713 1.43608 -4.07859, 8.00000 1.53858 -5.29988, 6.70150 1.68125 -7.00000, -0.00000 2.41758 1.77381, 4.75549 2.94010 8.00000, 5.30023 3.00000 7.28681, 8.00000 2.70339 3.75222, -0.00000 1.82437 -6.72176, 5.50000 0.90000 6.00000"
3,-60.8753,Tx-I-I-I-I-I-I-Rx,6,-60.8813,"1.00000 0.50000 7.50000, -0.00000 0.53867 -0.67992, 0.32873 0.56836 -7.00000, 1.10894 0.63884 8.00000, 1.88915 0.70932 -7.00000, 2.66937 0.77980 8.00000, 3.38670 0.84460 -5.79099, 4.00000 0.90000 6.00000"
3,-83.9225,Tx-I-I-I-I-I-I-I-I-Rx,8,-60.8813,"1.00000 0.50000 7.50000, 10.00000 1.31126 0.89364, -0.00000 2.21266 -6.44682, 0.75354 2.28059 -7.00000, 8.73393 3.00000 -1.14208, 10.00000 2.88589 -0.21278, -0.00000 1.98446 7.12767, 1.18831 1.87735 8.00000, 8.00000 1.26333 3.00000, 4.00000 0.90000 6.00000"
3,-65.4498,Tx-I-I-I-I-I-Rx,5,-60.8813,"1.00000 0.50000 7.50000, 3.26219 3.00000 7.62543, 5.28278 0.76698 7.73746, 7.30335 3.00000 7.84949, 8.00000 2.23018 7.88811, 5.98204 0.00000 8.00000, 4.00000 0.90000 6.00000"
3,-81.0947,Tx-I-I-I-I-I-I-I-I-Rx,8,-60.8813,"1.00000 0.50000 7.50000, 1.12107 3.00000 7.72727, 1.26636 0.00000 8.00000, 2.00409 2.99562 -7.00000, 2.00516 3.00000 -6.97831, 2.74182 0.00881 8.00000, 2.74398 0.00000 7.95615, 3.42009 2.74530 -5.79099, 3.48281 3.00000 -4.51579, 4.00000 0.90000 6.00000"
3,-87.9661,Tx-I-I-I-I-I-I-I-I-Rx,8,-60.8813,"1.00000 0.50000 7.50000, 2.75502 0.28873 8.00000, 3.29799 0.00000 5.56610, 4.27392 0.51887 1.19138, 5.62936 1.32257 8.00000, 8.00000 2.72818 -3.90765, 7.54167 3.00000 -6.20994, 7.38439 2.90675 -7.00000, 4.39817 1.13609 8.00000, 4.00000 0.90000 6.00000"
4,-59.6220,Tx-I-I-I-I-Rx,4,-58.1423,"1.00000 0.50000 7.50000, 0.47019 3.00000 7.48273, -0.00000 0.78164 7.46741, 0.16564 0.00000 7.46201, 0.53233 1.73000 7.45003, 2.50000 0.90000 6.00000"
4,-74.3710,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-58.1423,"1.00000 0.50000 7.50000, 0.96935 0.75822 8.00000, 0.70320 3.00000 3.65965, 0.34704 0.00000 -2.14886, 0.04959 2.50550 -7.00000, -0.00000 2.92282 -6.19202, 0.00916 3.00000 -6.04266, 0.36534 0.00000 -0.23411, 0.72151 3.00000 5.57438, 0.87025 1.74724 8.00000, 1.07768 0.00000 4.61713, 1.43386 3.00000 -1.19139, 1.79004 0.00000 -7.00000, 2.50000 0.90000 6.00000"
4,-83.7795,Tx-I-I-I-I-I-I-I-I-I-I-Rx,10,-58.1423,"1.00000 0.50000 7.50000, -0.00000 0.73868 8.00000, -7.96405 3.00000 1.01608, -8.00000 2.98981 0.98460, -0.00000 0.71828 -6.03085, -1.10510 0.40450 -7.00000, -2.52955 0.00000 -5.75087, -3.49544 0.27424 -4.90388, 6.10408 3.00000 3.51428, 8.00000 2.46169 5.17682, 4.78070 1.54759 8.00000, 2.50000 0.90000 6.00000"
4,-22.6381,Tx-I-I-I-I-I-I-I-I-Rx,8,-58.1423,"1.00000 0.50000 7.50000, 0.50003 0.83511 8.00000, -0.00000 1.17024 7.50004, 2.72982 3.00000 4.77019, 7.20563 0.00000 0.29438, 9.49995 1.53780 -2.00000, 10.00000 1.87293 -1.50002, 8.31857 3.00000 0.18143, 3.84276 0.00000 4.65724, 2.50000 0.90000 6.00000"
4,-32.6165,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-58.1423,"1.00000 0.50000 7.50000, -0.00000 0.62254 7.25146, 8.00000 1.60287 5.26301, -0.00000 2.58321 3.27456, 3.40093 3.00000 2.42923, 10.00000 2.19137 0.78901, -7.88204 0.00000 -3.65570, -8.00000 0.01445 -3.68501, -6.73291 0.16972 -4.00000, 10.00000 2.22022 0.15895, 3.63697 3.00000 1.74052, -0.00000 2.55434 2.64450, 8.00000 1.57399 4.63294, 2.50000 0.90000 6.00000"
5,-88.7358,Tx-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-Rx,15,-56.4571,"1.00000 0.50000 7.50000, 2.75502 0.18717 8.00000, 3.00769 0.00000 6.93812, 6.32417 2.45604 -7.00000, 7.05862 3.00000 -3.91337, 8.70359 1.78181 3.00000, 9.89330 0.90074 -2.00000, 10.00000 0.82178 -1.55186, 9.06670 0.13058 2.37065, 8.89045 0.00000 1.62994, 8.66488 0.16705 0.68189, 8.02428 0.57933 3.00000, 5.26076 2.35788 -7.00000, 4.92666 2.57290 -5.79099, 4.59256 2.78792 -7.00000, 4.26309 3.00000 -5.80779, 1.00000 0.90000 6.00000"
5,-87.0285,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-56.4571,"1.00000 0.50000 7.50000, 1.00000 3.00000 7.58621, 1.00000 0.00000 7.68966, 1.00000 3.00000 7.79311, 1.00000 0.00000 7.89655, 1.00000 3.00000 8.00000, 1.00000 0.00000 -3.85178, 1.00000 0.79687 -7.00000, 1.00000 3.00000 1.70356, 1.00000 1.40625 8.00000, 1.00000 0.90000 6.00000"
5,-73.4490,Tx-I-I-I-I-I-Rx,5,-56.4571,"1.00000 0.50000 7.50000, 0.63481 3.00000 7.60870, 0.19659 0.00000 7.73913, -0.00000 1.34543 7.79763, 0.24168 3.00000 7.86957, 0.67992 0.00000 8.00000, 1.00000 0.90000 6.00000"
5,-82.0957,Tx-I-I-I-I-I-I-I-I-I-I-I-I-I-Rx,13,-56.4571,"1.00000 0.50000 7.50000, -0.00000 0.00000 0.30050, 0.06619 1.13179 -7.00000, 0.17544 3.00000 5.05030, 0.20218 2.54272 8.00000, 0.33817 0.21724 -7.00000, 0.35087 0.00000 -5.59899, 0.47416 2.10819 8.00000, 0.52631 3.00000 2.24771, 0.61016 1.56638 -7.00000, 0.70176 0.00000 3.10347, 0.74615 0.75908 8.00000, 0.87719 3.00000 -6.45434, 0.88214 2.91542 -7.00000, 1.00000 0.90000 6.00000"
5,-93.4958,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-56.4571,"1.00000 0.50000 7.50000, 1.51690 3.00000 4.21008, 2.13719 0.00000 0.26211, 2.75748 3.00000 -3.68583, 3.08823 1.40035 -5.79099, 3.37777 0.00000 -3.94820, 3.99805 3.00000 -0.00026, 4.61834 0.00000 3.94767, 5.23862 3.00000 7.89557, 5.25502 2.92069 8.00000, 7.44637 1.23220 7.49261, 6.73303 0.68249 7.32744, 3.72539 3.00000 6.63104, 1.00000 0.90000 6.00000"
6,-33.7640,Tx-I-I-I-I-I-I-Rx,6,-65.0511,"1.00000 0.50000 7.50000, 1.71943 2.39556 8.00000, 1.94882 3.00000 7.84060, 3.08741 0.00000 7.04931, 4.22600 3.00000 6.25802, 5.07392 0.76698 5.66923, 6.06651 3.00000 5.06667, 7.00000 0.90000 4.50000"
6,-67.2673,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-65.0511,"1.00000 0.50000 7.50000, -0.00000 0.05210 8.00000, -0.10045 0.00000 7.91763, -5.89110 3.00000 3.16928, -8.00000 1.90746 1.44002, -4.31833 0.00000 -1.57898, -1.36590 1.52958 -4.00000, 1.47224 3.00000 -1.67273, 7.26278 0.00000 3.07551, 8.00000 0.38191 3.67999, 7.00000 0.90000 4.50000"
6,-44.6182,Tx-I-I-I-I-I-Rx,5,-65.0511,"1.00000 0.50000 7.50000, -0.00000 0.29606 -0.67992, 0.92514 0.13797 -7.00000, 1.73247 0.00000 -1.48477, 3.12086 0.23719 8.00000, 5.31660 0.61236 -7.00000, 7.00000 0.90000 4.50000"
6,-18.1479,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-65.0511,"1.00000 0.50000 7.50000, 7.32526 3.00000 3.22021, 10.00000 1.94288 1.41048, 5.08439 0.00000 -1.91553, -0.00000 2.00950 -5.35569, 2.43011 2.96997 -7.00000, 2.50597 3.00000 -6.94868, 4.21690 2.32378 -5.79099, 6.00368 1.61758 -7.00000, 8.00000 0.82858 -5.64930, 5.90372 0.00000 -4.23090, -0.00000 2.33333 -0.23634, 1.68668 3.00000 0.90490, 7.00000 0.90000 4.50000"
7,-84.1814,Tx-I-I-I-I-I-I-Rx,6,-62.9296,"1.00000 0.50000 7.50000, 1.29101 3.00000 7.58621, 1.64022 0.00000 7.68966, 1.98942 3.00000 7.79311, 2.33863 0.00000 7.89655, 2.68783 3.00000 8.00000, 4.29827 1.79740 -5.79099, 5.50000 0.90000 4.50000"
7,-76.4580,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-62.9296,"1.00000 0.50000 7.50000, -0.00000 1.09941 -0.67992, -1.41000 1.36178 -4.00000, -3.06730 1.67016 -0.09765, -4.72459 1.97854 -4.00000, -8.00000 2.58801 3.71228, -6.17907 2.92684 8.00000, -5.78616 3.00000 7.07483, -1.08276 2.12488 -4.00000, 4.01356 1.17659 8.00000, 5.50000 0.90000 4.50000"
7,-78.1965,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-62.9296,"1.00000 0.50000 7.50000, 8.43225 3.00000 2.04439, 10.00000 2.47269 0.89364, 2.64906 0.00000 -4.50232, -0.00000 0.89104 -6.44681, 0.75355 1.14451 -7.00000, 6.26963 3.00000 -2.95098, 10.00000 1.74525 -0.21277, 4.81168 0.00000 3.59570, -0.00000 1.61847 7.12765, 1.18834 2.01819 8.00000, 4.10704 3.00000 5.85756, 8.00000 1.69056 3.00000, 5.50000 0.90000 4.50000"
7,-73.5346,Tx-I-I-I-I-I-I-I-I-I-I-I-I-Rx,12,-62.9296,"1.00000 0.50000 7.50000, 2.52707 3.00000 7.54443, 4.35957 0.00000 7.59774, 6.19205 3.00000 7.65106, 7.44637 0.94663 7.68755, 7.28506 0.68249 7.69224, 5.86946 3.00000 7.73343, 4.03699 0.00000 7.78674, 2.20452 3.00000 7.84006, 0.37206 0.00000 7.89337, -0.00000 0.60901 7.90419, 1.46044 3.00000 7.94669, 3.29290 0.00000 8.00000, 5.50000 0.90000 4.50000"
7,-54.8468,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-62.9296,"1.00000 0.50000 7.50000, -0.00000 1.54186 -0.67992, 0.46100 2.34300 -7.00000, 0.83904 3.00000 -1.81733, 1.55513 1.75559 8.00000, 2.56532 0.00000 -5.84918, 2.64926 0.14587 -7.00000, 3.74340 2.04731 8.00000, 4.29159 3.00000 0.48471, 4.74935 2.20452 -5.79099, 5.50000 0.90000 4.50000"
8,-62.2382,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-61.8958,"1.00000 0.50000 7.50000, 2.59574 3.00000 7.22177, 4.51063 0.00000 6.88789, 6.42551 3.00000 6.55401, 8.00000 0.53339 6.27949, 7.65958 0.00000 6.22013, 5.74469 3.00000 5.88626, 3.82981 0.00000 5.55238, 1.91494 3.00000 5.21850, -0.00000 0.00000 4.88462, 4.00000 0.90000 4.50000"
8,-93.3893,Tx-I-I-I-I-I-I-I-I-I-I-Rx,10,-61.8958,"1.00000 0.50000 7.50000, 1.29746 3.00000 -7.00000, 1.60074 2.76434 8.00000, 1.90402 2.52867 -7.00000, 2.20731 2.29301 8.00000, 2.51059 2.05734 -7.00000, 2.81388 1.82167 8.00000, 3.09272 1.60500 -5.79099, 3.37155 1.38833 8.00000, 3.65039 1.17166 -5.79099, 3.92923 0.95499 8.00000, 4.00000 0.90000 4.50000"
8,-84.4122,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-61.8958,"1.00000 0.50000 7.50000, 2.75502 0.33959 8.00000, 4.33086 0.00000 4.47312, 8.00000 0.79056 -3.73863, 6.54282 1.10455 -7.00000, -0.00000 2.51436 7.64314, 0.15943 2.54871 8.00000, 2.25372 3.00000 3.31286, 6.86163 2.00718 -7.00000, 8.00000 1.76190 -4.45239, 4.00000 0.90000 4.50000"
8,-83.1766,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-61.8958,"1.00000 0.50000 7.50000, -0.00000 3.00000 2.85402, -3.73232 1.64052 -4.00000, -5.11891 1.13547 -1.45376, -3.10665 0.40250 2.24159, -2.00166 0.00000 0.21242, 1.92582 1.43053 -7.00000, 6.23456 3.00000 0.91247, 8.00000 2.35698 4.15440, 5.90593 1.59422 8.00000, 4.00000 0.90000 4.50000"
8,-78.7614,Tx-I-I-I-I-I-I-I-I-I-I-Rx,10,-61.8958,"1.00000 0.50000 7.50000, 3.33830 3.00000 4.32648, 6.14428 0.00000 0.51824, 8.00000 1.98321 -2.00000, 7.73096 3.00000 -3.58061, 7.14894 0.80049 -7.00000, 6.93713 0.00000 -5.75567, 6.14331 3.00000 -1.09197, 5.34949 0.00000 3.57170, 4.59574 2.84853 8.00000, 4.55568 3.00000 7.76462, 4.00000 0.90000 4.50000"
9,-20.1566,Tx-I-I-I-I-I-I-I-I-Rx,8,-60.2581,"1.00000 0.50000 7.50000, -0.00000 0.19714 5.99099, 0.65075 0.00000 5.00895, 7.08310 1.94810 -4.69767, 5.72289 2.39548 -7.00000, 5.00861 2.63041 -5.79099, 4.29433 2.86533 -7.00000, 3.88501 3.00000 -6.30720, -0.00000 1.72226 0.26850, 2.50000 0.90000 4.50000"
9,-98.9074,Tx-I-I-I-I-I-I-I-I-I-I-Rx,10,-60.2581,"1.00000 0.50000 7.50000, 2.75502 0.41363 8.00000, 2.73589 0.00000 -0.73947, 2.72218 0.29627 -7.00000, 2.68935 1.00617 8.00000, 2.65651 1.71608 -7.00000, 2.62368 2.42599 8.00000, 2.59713 3.00000 -4.12795, 2.59084 2.86409 -7.00000, 2.55801 2.15418 8.00000, 2.52517 1.44427 -7.00000, 2.50000 0.90000 4.50000"
9,-65.4472,Tx-I-I-I-I-I-I-I-Rx,7,-60.2581,"1.00000 0.50000 7.50000, 0.39179 3.00000 -2.17372, 0.08835 1.75277 -7.00000, -0.00000 1.38977 -5.59536, 0.33808 0.00000 -0.21765, 0.85474 2.12362 8.00000, 1.06794 3.00000 4.60896, 1.79782 0.00000 -7.00000, 2.50000 0.90000 4.50000"
9,-22.7333,Tx-I-I-I-I-I-I-I-I-I-Rx,9,-60.2581,"1.00000 0.50000 7.50000, 0.98847 0.61951 8.00000, 0.75875 3.00000 -1.95774, 0.64243 1.79465 -7.00000, 0.46925 0.00000 0.50718, 0.30898 1.66117 7.45628, -0.00000 1.73811 7.54675, 1.54764 2.12351 8.00000, 5.06711 3.00000 6.96941, 8.00000 2.26966 6.11058, 2.50000 0.90000 4.50000"
9,-67.5037,Tx-I-I-I-I-I-I-I-I-I-I-Rx,10,-60.2581,"1.00000 0.50000 7.50000, -0.00000 0.93431 7.74105, 1.07396 1.40076 8.00000, 4.75600 3.00000 7.11241, 8.00000 1.59109 6.33040, 6.10267 0.76698 5.87302, 0.96132 3.00000 4.63361, -0.00000 2.58249 4.40187, 5.94584 0.00000 2.96852, 10.00000 1.76079 1.99121, 7.21678 3.00000 2.92221, 2.50000 0.90000 4.50000"
10,-69.2927,Tx-I-I-I-I-I-Rx,5,-59.6470,"1.00000 0.50000 7.50000, 0.66912 3.00000 7.60870, 0.27206 0.00000 7.73913, -0.00000 2.05512 7.82849, 0.12505 3.00000 7.86957, 0.52213 0.00000 8.00000, 1.00000 0.90000 4.50000"
10,-77.6518,Tx-I-I-I-I-I-I-I-Rx,7,-59.6470,"1.00000 0.50000 7.50000, 2.75502 1.04518 8.00000, 6.47570 3.00000 2.61766, 9.66773 1.32298 -2.00000, 10.00000 1.14844 -1.51943, 9.26070 0.75996 -0.44994, 4.99708 3.00000 5.71780, 3.41948 2.17116 8.00000, 1.00000 0.90000 4.50000"
