Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-52.0943,Tx-D-T-R-T-Rx,6,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.49592 1.00000 7.59001, 5.15072 1.00000 8.58518, 5.54628 1.00000 9.72553, 5.58725 1.00000 9.84364"
1,-56.0155,Tx-D-T-R-T-R-Rx,7,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.48895 1.00000 7.59003, 5.15072 1.00000 8.50487, 5.60197 1.00000 9.72541, 5.61647 1.00000 9.76462, 5.58725 1.00000 9.84364"
1,-59.0695,Tx-D-T-R-T-R-Rx,7,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.51176 1.00000 7.58998, 5.15071 1.00000 8.81406, 5.41963 1.00000 9.72580, 5.52082 1.00000 10.06890, 5.58725 1.00000 9.84364"
1,-61.1033,Tx-D-T-R-T-R-R-Rx,8,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.50584 1.00000 7.58999, 5.15071 1.00000 8.71962, 5.46699 1.00000 9.72570, 5.57488 1.00000 10.06890, 5.61647 1.00000 9.93657, 5.58725 1.00000 9.84364"
1,-61.9478,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.60166 1.00000 7.28516, 5.59995 1.00000 7.58980, 5.58792 1.00000 9.72544, 5.58725 1.00000 9.84364"
1,-62.3377,Tx-D-T-R-T-Rx,6,"-1.00000 1.00000 6.00000, 5.60404 1.00021 7.52555, 5.57936 1.00021 7.58984, 5.15071 1.00010 8.70646, 5.54192 1.00001 9.72554, 5.58725 1.00000 9.84364"
1,-63.1218,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, 3.07345 1.00002 7.41959, 3.11391 1.00002 7.40549, 3.69165 1.00001 6.33660, 5.15072 1.00000 9.03600, 5.52344 1.00000 9.72557, 5.58725 1.00000 9.84364"
1,-63.6545,Tx-R-D-R-T-T-Rx,7,"-1.00000 1.00000 6.00000, 3.07518 1.00000 7.41959, 3.11275 1.00000 7.40651, 3.69119 1.00000 6.33660, 5.15072 1.00000 9.03620, 5.52342 1.00000 9.72557, 5.58725 1.00000 9.84364"
1,-64.1344,Tx-R-D-R-T-T-R-Rx,8,"-1.00000 1.00000 6.00000, 3.07437 1.00002 7.41959, 3.11331 1.00002 7.40602, 3.63961 1.00001 6.33660, 5.15076 1.00000 9.40718, 5.30760 1.00000 9.72585, 5.47641 1.00000 10.06890, 5.58725 1.00000 9.84364"
1,-64.8827,Tx-D-T-T-Rx,5,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.97688, 5.59450 1.00000 7.58981, 5.58763 1.00000 9.72544, 5.58725 1.00000 9.84364"
1,-64.9003,Tx-D-T-R-T-Rx,6,"-1.00000 1.00000 6.00000, 5.59647 1.00000 6.97688, 5.60195 1.00000 7.58980, 5.60468 1.00000 7.89604, 5.58831 1.00000 9.72544, 5.58725 1.00000 9.84364"
1,-65.2508,Tx-R-D-T-R-T-Rx,7,"-1.00000 1.00000 6.00000, 5.35076 1.00042 7.59027, 5.60481 1.00038 7.52665, 5.58052 1.00037 7.58984, 5.15071 1.00018 8.70798, 5.54185 1.00002 9.72554, 5.58725 1.00000 9.84364"
