Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-52.3054,"-7.30900 0.90000 -2.93800, -5.00000 2.00000 7.60000"
1,-3.0628,Tx-I-Rx,1,-52.3054,"-7.30900 0.90000 -2.93800, -8.00000 1.10592 -0.96529, -5.00000 2.00000 7.60000"
1,-5.0945,Tx-I-Rx,1,-52.3054,"-7.30900 0.90000 -2.93800, -6.98188 0.68249 -1.44505, -5.00000 2.00000 7.60000"
1,-7.1535,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -7.66834 0.76698 -1.91205, -8.00000 0.88969 -0.96529, -5.00000 2.00000 7.60000"
1,-7.2581,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -7.66199 0.76698 -1.93019, -8.00000 0.89180 -0.96529, -5.00000 2.00000 7.60000"
1,-9.5126,Tx-I-Rx,1,-52.3054,"-7.30900 0.90000 -2.93800, -7.11535 0.99226 -4.00000, -5.00000 2.00000 7.60000"
1,-11.2220,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -8.00000 1.10592 -0.81554, -5.13022 1.96119 8.00000, -5.00000 2.00000 7.60000"
1,-11.9019,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -7.61856 0.99226 -4.00000, -8.00000 1.10592 -2.69168, -5.00000 2.00000 7.60000"
1,-12.8872,Tx-I-I-Rx,2,-52.3054,"-7.30900 0.90000 -2.93800, -7.11534 0.78543 -4.00000, -7.08424 0.76698 -3.82946, -5.00000 2.00000 7.60000"
1,-14.9690,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.66834 0.76698 -1.83417, -8.00000 0.88969 -0.81554, -5.13022 1.95181 8.00000, -5.00000 2.00000 7.60000"
1,-15.1450,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.61857 0.78545 -4.00000, -7.66834 0.76698 -3.82926, -8.00000 0.88969 -2.69168, -5.00000 2.00000 7.60000"
1,-15.2293,Tx-I-I-I-Rx,3,-52.3054,"-7.30900 0.90000 -2.93800, -7.61857 0.78339 -4.00000, -7.66199 0.76698 -3.85106, -8.00000 0.89180 -2.69168, -5.00000 2.00000 7.60000"
