Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-Rx,2,-69.1671,"-7.60000 1.25000 -2.30000, -5.34459 0.38112 2.24159, -4.35538 0.00000 0.24970, -1.50000 1.10000 -5.50000"
1,-3.9272,Tx-I-I-I-Rx,3,-69.1671,"-7.60000 1.25000 -2.30000, -8.00000 1.11379 -1.58802, -5.84880 0.38112 2.24159, -4.72987 0.00000 0.24971, -1.50000 1.10000 -5.50000"
1,-6.3527,Tx-I-I-Rx,2,-69.1671,"-7.60000 1.25000 -2.30000, -5.25561 1.19235 8.00000, -1.84142 1.10840 -7.00000, -1.50000 1.10000 -5.50000"
1,-8.2692,Tx-I-Rx,1,-69.1671,"-7.60000 1.25000 -2.30000, -4.35942 1.17031 -4.00000, -1.50000 1.10000 -5.50000"
1,-8.4087,Tx-I-I-I-Rx,3,-69.1671,"-7.60000 1.25000 -2.30000, -8.00000 1.24131 -0.74656, -5.74815 1.19235 8.00000, -1.88620 1.10840 -7.00000, -1.50000 1.10000 -5.50000"
1,-11.5455,Tx-I-I-I-I-Rx,4,-69.1671,"-7.60000 1.25000 -2.30000, 8.00000 1.18858 -5.07686, 3.98838 1.17279 -5.79099, -6.07320 1.13318 -4.00000, -8.00000 1.12559 -4.34296, -1.50000 1.10000 -5.50000"
1,-12.6210,Tx-I-I-I-Rx,3,-69.1671,"-7.60000 1.25000 -2.30000, -5.25560 2.65281 8.00000, -4.67544 3.00000 5.45112, -1.84142 1.30429 -7.00000, -1.50000 1.10000 -5.50000"
1,-12.9143,Tx-I-I-Rx,2,-69.1671,"-7.60000 1.25000 -2.30000, 8.00000 1.18707 -3.64240, -7.54344 1.12438 -4.97995, -1.50000 1.10000 -5.50000"
1,-14.2186,Tx-I-I-I-Rx,3,-69.1671,"-7.60000 1.25000 -2.30000, -5.32002 0.37164 6.87899, -4.35543 0.00000 2.99571, -1.87259 0.95646 -7.00000, -1.50000 1.10000 -5.50000"
1,-15.8234,Tx-I-I-I-I-Rx,4,-69.1671,"-7.60000 1.25000 -2.30000, -5.81364 1.02135 -3.12042, -8.00000 1.99760 3.07646, -6.26296 2.77325 8.00000, -5.75524 3.00000 6.56095, -1.50000 1.10000 -5.50000"
1,-16.4698,Tx-I-I-I-I-Rx,4,-69.1671,"-7.60000 1.25000 -2.30000, -7.04497 1.03618 -4.00000, -5.00709 0.25110 2.24159, -4.35539 0.00000 0.24556, -1.98975 0.91133 -7.00000, -1.50000 1.10000 -5.50000"
1,-17.1662,Tx-I-I-I-I-Rx,4,-69.1671,"-7.60000 1.25000 -2.30000, -7.98841 1.24156 -4.00000, -8.00000 1.24131 -3.94949, -5.26988 1.18195 8.00000, -1.84272 1.10745 -7.00000, -1.50000 1.10000 -5.50000"
