Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-I-Rx,3,-77.4906,"-7.60000 1.25000 -2.30000, -4.61684 0.69363 2.28699, -0.89789 0.00000 -3.43132, -0.52806 0.06897 -4.00000, 5.00000 1.10000 4.50000"
1,-0.7689,Tx-I-I-I-I-Rx,4,-77.4906,"-7.60000 1.25000 -2.30000, -4.09506 0.82740 2.28699, 2.76683 0.00000 -6.69322, 3.00121 0.02826 -7.00000, 8.51979 0.69367 0.22211, 5.00000 1.10000 4.50000"
1,-0.7692,Tx-I-I-I-I-Rx,4,-77.4906,"-7.60000 1.25000 -2.30000, -4.09506 0.82736 2.28699, 2.76595 0.00000 -6.69204, 3.00122 0.02837 -7.00000, 8.51979 0.69383 0.22210, 5.00000 1.10000 4.50000"
1,-2.9881,Tx-I-Rx,1,-77.4906,"-7.60000 1.25000 -2.30000, -0.00000 1.15950 1.80159, 5.00000 1.10000 4.50000"
1,-4.5228,Tx-I-I-I-I-Rx,4,-77.4906,"-7.60000 1.25000 -2.30000, -8.00000 1.17986 -1.72174, -5.22744 0.69363 2.28699, -1.27236 0.00000 -3.43132, -0.87905 0.06897 -4.00000, 5.00000 1.10000 4.50000"
1,-7.3675,Tx-I-I-I-I-Rx,4,-77.4906,"-7.60000 1.25000 -2.30000, -4.77332 1.23517 -4.00000, 8.00000 1.16818 3.68177, 0.81980 1.13052 8.00000, -0.00000 1.12622 7.50701, 5.00000 1.10000 4.50000"
1,-10.0907,Tx-I-I-Rx,2,-77.4906,"-7.60000 1.25000 -2.30000, -5.50005 1.22500 -4.00000, -0.00000 1.15950 0.45238, 5.00000 1.10000 4.50000"
1,-10.6075,Tx-I-I-Rx,2,-77.4906,"-7.60000 1.25000 -2.30000, -8.00000 1.24552 -2.09704, -0.00000 1.15595 1.96269, 5.00000 1.10000 4.50000"
1,-10.7208,Tx-I-I-Rx,2,-77.4906,"-7.60000 1.25000 -2.30000, -0.89790 0.00000 1.31700, -0.00000 0.16746 1.80158, 5.00000 1.10000 4.50000"
1,-13.1323,Tx-I-I-Rx,2,-77.4906,"-7.60000 1.25000 -2.30000, -0.00000 1.15952 6.02378, 1.80432 1.13804 8.00000, 5.00000 1.10000 4.50000"
1,-13.1714,Tx-I-I-I-Rx,3,-77.4906,"-7.60000 1.25000 -2.30000, -4.22555 1.20983 7.61976, -0.27276 1.16277 -4.00000, 3.80937 1.11417 8.00000, 5.00000 1.10000 4.50000"
1,-13.7051,Tx-I-I-I-I-Rx,4,-77.4906,"-7.60000 1.25000 -2.30000, -4.16669 2.24457 8.00000, -1.55898 3.00000 0.17692, -0.16668 2.59670 -4.00000, 3.83332 1.43797 8.00000, 5.00000 1.10000 4.50000"
1,-13.8985,Tx-I-I-I-Rx,3,-77.4906,"-7.60000 1.25000 -2.30000, -7.05691 1.24353 -4.00000, -3.34468 1.19934 7.61976, 1.32600 1.14374 -7.00000, 5.00000 1.10000 4.50000"
