Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-I-Rx,3,-72.5091,"-7.60000 1.25000 -2.30000, 3.17923 1.15813 -5.79099, 6.91223 1.12632 -7.00000, 8.00000 1.11705 -6.64773, 6.00000 1.10000 -6.00000"
1,-0.9022,Tx-I-I-I-I-Rx,4,-72.5091,"-7.60000 1.25000 -2.30000, 3.02565 0.81349 -5.74121, 3.17923 0.81980 -5.79099, 6.91223 0.97316 -7.00000, 8.00000 1.01784 -6.64773, 6.00000 1.10000 -6.00000"
1,-7.9683,Tx-I-I-I-I-Rx,4,-72.5091,"-7.60000 1.25000 -2.30000, -0.00000 2.18714 3.93914, -4.94650 2.79709 8.00000, -6.59171 3.00000 6.64938, -8.00000 2.82636 5.49330, 6.00000 1.10000 -6.00000"
1,-9.8555,Tx-I-I-I-I-Rx,4,-72.5091,"-7.60000 1.25000 -2.30000, 0.83828 3.00000 -5.03281, 3.17923 2.51453 -5.79099, 6.91223 1.74035 -7.00000, 8.00000 1.51478 -6.64773, 6.00000 1.10000 -6.00000"
1,-10.6438,Tx-I-Rx,1,-72.5091,"-7.60000 1.25000 -2.30000, -1.35135 1.18105 -4.00000, 6.00000 1.10000 -6.00000"
1,-11.9099,Tx-I-I-I-Rx,3,-72.5091,"-7.60000 1.25000 -2.30000, -0.00000 1.21149 3.74389, -4.87368 1.18679 7.61976, -8.00000 1.17095 5.13361, 6.00000 1.10000 -6.00000"
1,-11.9254,Tx-I-I-Rx,2,-72.5091,"-7.60000 1.25000 -2.30000, -0.00000 1.18523 -3.89773, 8.00000 1.11705 -5.57954, 6.00000 1.10000 -6.00000"
1,-16.6741,Tx-I-I-I-I-Rx,4,-72.5091,"-7.60000 1.25000 -2.30000, 8.00000 0.34685 -3.72199, 2.00962 0.00000 -4.26804, -3.49544 0.31868 -4.76984, 8.00000 0.98421 -5.81769, 6.00000 1.10000 -6.00000"
1,-17.7969,Tx-I-I-I-Rx,3,-72.5091,"-7.60000 1.25000 -2.30000, -2.76825 0.41510 2.24159, -0.36598 0.00000 -0.01639, -0.00000 0.06324 -0.36038, 6.00000 1.10000 -6.00000"
1,-18.0152,Tx-I-I-I-I-Rx,4,-72.5091,"-7.60000 1.25000 -2.30000, -8.00000 1.24803 -1.99031, -0.00000 1.20855 4.20430, -4.41081 1.18679 7.61976, -8.00000 1.16908 4.84062, 6.00000 1.10000 -6.00000"
1,-18.0194,Tx-I-I-I-Rx,3,-72.5091,"-7.60000 1.25000 -2.30000, -0.00000 0.23524 -3.89773, 1.76153 0.00000 -4.26805, 8.00000 0.83295 -5.57954, 6.00000 1.10000 -6.00000"
1,-18.5635,Tx-I-I-Rx,2,-72.5091,"-7.60000 1.25000 -2.30000, -1.35134 0.17028 -4.00000, -0.36610 0.00000 -4.26805, 6.00000 1.10000 -6.00000"
