Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 1.20788 -2.03560, -2.50000 1.10000 -5.20000"
1,-7.2790,Tx-I-I-Rx,2,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 0.59007 -2.03561, 4.33427 0.00000 -3.14036, -2.50000 1.10000 -5.20000"
1,-11.3852,Tx-I-I-Rx,2,-65.8939,"3.90000 1.25000 -0.80000, -5.11891 1.20855 -2.01586, 8.00000 1.14826 -3.78446, -2.50000 1.10000 -5.20000"
1,-12.1895,Tx-I-I-Rx,2,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 2.27499 -2.03561, 5.10016 3.00000 -2.90954, -2.50000 1.10000 -5.20000"
1,-13.2502,Tx-I-I-Rx,2,-65.8939,"3.90000 1.25000 -0.80000, -0.56318 0.00000 -3.14040, -3.49544 0.82121 -4.67801, -2.50000 1.10000 -5.20000"
1,-14.1171,Tx-I-I-I-I-Rx,4,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 1.20788 -3.72049, 5.09340 1.17801 -5.79099, 3.39617 1.16058 -7.00000, -0.81537 1.11731 -4.00000, -2.50000 1.10000 -5.20000"
1,-14.5824,Tx-I-I-I-Rx,3,-65.8939,"3.90000 1.25000 -0.80000, 1.06571 1.18357 -7.00000, -0.30572 1.15143 -4.00000, -1.67714 1.11929 -7.00000, -2.50000 1.10000 -5.20000"
1,-14.6514,Tx-I-I-I-Rx,3,-65.8939,"3.90000 1.25000 -0.80000, -5.11891 0.60050 -2.01608, 3.22139 0.00000 -3.14039, 8.00000 0.34402 -3.78455, -2.50000 1.10000 -5.20000"
1,-14.8290,Tx-I-Rx,1,-65.8939,"3.90000 1.25000 -0.80000, -0.75455 1.14090 -4.00000, -2.50000 1.10000 -5.20000"
1,-15.8729,Tx-I-I-I-I-Rx,4,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 0.59009 -3.72051, 4.33410 0.00000 -6.33185, 3.39617 0.15096 -7.00000, -0.81537 0.82884 -4.00000, -2.50000 1.10000 -5.20000"
1,-19.2854,Tx-I-I-I-I-Rx,4,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 1.22509 -2.27139, -3.02982 1.15807 -6.22985, -7.54344 1.13064 -4.61003, -5.84377 1.12032 -4.00000, -2.50000 1.10000 -5.20000"
1,-19.5418,Tx-I-I-I-I-Rx,4,-65.8939,"3.90000 1.25000 -0.80000, 8.00000 2.27498 -3.72051, 5.10006 3.00000 -5.78623, 3.39617 2.57404 -7.00000, -0.81537 1.52116 -4.00000, -2.50000 1.10000 -5.20000"
