Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 1.19089 0.10606, -6.00000 1.10000 1.50000"
1,-1.4890,Tx-I-I-I-Rx,3,-71.3392,"3.90000 1.25000 -0.80000, -1.21261 2.59252 -4.00000, -2.76428 3.00000 -3.02882, -8.00000 1.62518 0.24819, -6.00000 1.10000 1.50000"
1,-3.2228,Tx-I-I-Rx,2,-71.3392,"3.90000 1.25000 -0.80000, 1.62158 1.21548 -7.00000, -3.75103 1.13408 7.61976, -6.00000 1.10000 1.50000"
1,-9.1772,Tx-I-I-I-Rx,3,-71.3392,"3.90000 1.25000 -0.80000, 1.62158 2.09003 -7.00000, -0.84649 3.00000 -0.28403, -3.75104 1.92916 7.61976, -6.00000 1.10000 1.50000"
1,-9.2530,Tx-I-I-I-I-Rx,4,-71.3392,"3.90000 1.25000 -0.80000, 8.00000 2.07680 6.51654, 7.16876 2.24443 8.00000, 3.42210 3.00000 1.31402, -1.23681 2.06053 -7.00000, -6.00000 1.10000 1.50000"
1,-9.5134,Tx-I-I-I-I-Rx,4,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 1.22741 3.16020, 4.76613 1.19981 8.00000, 8.00000 1.18108 4.71627, -0.58362 1.13137 -4.00000, -6.00000 1.10000 1.50000"
1,-10.7306,Tx-I-I-Rx,2,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 1.20791 -0.15468, -8.00000 1.12158 1.16906, -6.00000 1.10000 1.50000"
1,-11.5186,Tx-I-I-Rx,2,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 0.32424 0.10606, -1.36590 0.00000 0.42339, -6.00000 1.10000 1.50000"
1,-14.6858,Tx-I-I-Rx,2,-71.3392,"3.90000 1.25000 -0.80000, 10.00000 1.20859 -0.16516, -0.00000 1.14070 0.87557, -6.00000 1.10000 1.50000"
1,-14.7092,Tx-I-I-I-Rx,3,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 0.32425 0.72610, -1.36592 0.00000 1.26060, -3.98882 0.62260 2.28699, -6.00000 1.10000 1.50000"
1,-15.3152,Tx-I-I-Rx,2,-71.3392,"3.90000 1.25000 -0.80000, -0.00000 1.19091 -6.59091, -0.27548 1.18674 -7.00000, -6.00000 1.10000 1.50000"
1,-16.5772,Tx-I-I-I-Rx,3,-71.3392,"3.90000 1.25000 -0.80000, 9.54255 1.21170 -2.00000, 10.00000 1.20860 -1.90273, -0.00000 1.14072 0.22398, -6.00000 1.10000 1.50000"
