Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-Rx,2,-70.7195,"3.90000 1.25000 -0.80000, 8.00000 1.21602 -3.58209, 4.74483 1.18905 -5.79099, -6.00000 1.10000 1.50000"
1,-1.9572,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 8.00000 1.21600 -4.12977, 4.46596 1.18670 -7.00000, 2.97734 1.17436 -5.79099, -6.00000 1.10000 1.50000"
1,-2.8328,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 8.00000 0.71768 -4.12979, 4.46601 0.25885 -7.00000, 2.47265 0.00000 -5.38110, -6.00000 1.10000 1.50000"
1,-4.3142,Tx-I-Rx,1,-70.7195,"3.90000 1.25000 -0.80000, -0.00000 1.19089 0.10606, -6.00000 1.10000 1.50000"
1,-5.0795,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 1.92638 1.22010 -7.00000, -2.84854 1.14775 8.00000, -5.45884 1.10820 -0.20000, -6.00000 1.10000 1.50000"
1,-5.6439,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 8.00000 2.07679 -4.12978, 4.46600 2.78945 -7.00000, 3.42213 3.00000 -6.15223, -6.00000 1.10000 1.50000"
1,-7.5369,Tx-I-I-Rx,2,-70.7195,"3.90000 1.25000 -0.80000, 1.62158 1.21548 -7.00000, -3.75103 1.13408 7.61976, -6.00000 1.10000 1.50000"
1,-7.7150,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 8.00000 2.07679 -3.58207, 4.74478 2.73324 -5.79099, 3.42212 3.00000 -4.89349, -6.00000 1.10000 1.50000"
1,-10.0689,Tx-I-I-I-I-Rx,4,-70.7195,"3.90000 1.25000 -0.80000, -5.62639 0.38564 -4.00000, -8.00000 0.17028 -3.20271, -6.12381 0.00000 -2.57248, -0.00000 0.55560 -0.51545, -6.00000 1.10000 1.50000"
1,-10.2833,Tx-I-I-I-I-Rx,4,-70.7195,"3.90000 1.25000 -0.80000, 1.92638 1.97765 -7.00000, -0.84651 3.00000 1.71073, -2.84854 2.26190 8.00000, -5.45884 1.29952 -0.20000, -6.00000 1.10000 1.50000"
1,-12.4269,Tx-I-I-I-I-Rx,4,-70.7195,"3.90000 1.25000 -0.80000, -5.62637 2.59252 -4.00000, -8.00000 2.92702 -3.20271, -7.48252 3.00000 -3.02888, -0.00000 1.94556 -0.51545, -6.00000 1.10000 1.50000"
1,-13.4914,Tx-I-I-I-Rx,3,-70.7195,"3.90000 1.25000 -0.80000, 1.62158 2.09003 -7.00000, -0.84649 3.00000 -0.28403, -3.75104 1.92916 7.61976, -6.00000 1.10000 1.50000"
