Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-Rx,1,-56.2874,"3.90000 1.25000 -0.80000, 1.62585 1.21372 -2.28614, -6.00000 1.10000 1.50000"
1,-10.1370,Tx-I-I-Rx,2,-56.2874,"3.90000 1.25000 -0.80000, 0.79621 1.21519 -2.33514, -8.00000 1.12134 0.78953, -6.00000 1.10000 1.50000"
1,-10.1758,Tx-I-I-Rx,2,-56.2874,"3.90000 1.25000 -0.80000, 1.62584 0.68154 -2.28614, -1.29141 0.00000 -0.83777, -6.00000 1.10000 1.50000"
1,-14.5431,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 2.16057 0.80646 -2.25456, -1.29142 0.00000 -0.00056, -4.79473 0.81843 2.28699, -6.00000 1.10000 1.50000"
1,-17.5887,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 0.79620 0.70460 -2.33514, -3.41904 0.00000 -0.83776, -8.00000 0.76569 0.78953, -6.00000 1.10000 1.50000"
1,-18.5175,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 9.87257 1.20853 3.00000, 10.00000 1.20764 2.91897, 1.83881 1.15097 -2.27356, -6.00000 1.10000 1.50000"
1,-21.6369,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 8.00000 1.21600 -4.12977, 4.46596 1.18670 -7.00000, 2.97734 1.17436 -5.79099, -6.00000 1.10000 1.50000"
1,-22.5125,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 8.00000 0.71768 -4.12979, 4.46601 0.25885 -7.00000, 2.47265 0.00000 -5.38110, -6.00000 1.10000 1.50000"
1,-22.6574,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 0.79620 2.09711 -2.33514, -2.68147 3.00000 -1.09977, -8.00000 1.61924 0.78953, -6.00000 1.10000 1.50000"
1,-23.9939,Tx-I-Rx,1,-56.2874,"3.90000 1.25000 -0.80000, -0.00000 1.19089 0.10606, -6.00000 1.10000 1.50000"
1,-25.3236,Tx-I-I-I-Rx,3,-56.2874,"3.90000 1.25000 -0.80000, 8.00000 2.07679 -4.12978, 4.46600 2.78945 -7.00000, 3.42213 3.00000 -6.15223, -6.00000 1.10000 1.50000"
1,-27.2167,Tx-I-I-Rx,2,-56.2874,"3.90000 1.25000 -0.80000, 1.62158 1.21548 -7.00000, -3.75104 1.13408 7.61976, -6.00000 1.10000 1.50000"
