Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -4.60317 1.22371 -4.00000, 8.00000 1.11316 3.14912, 6.50000 1.10000 4.00000"
1,-11.8113,Tx-I-I-I-Rx,3,-71.3121,"-7.60000 1.25000 -2.30000, -1.62383 1.22371 -4.00000, 10.00000 1.17258 -0.69357, -0.00000 1.12859 2.15102, 6.50000 1.10000 4.00000"
1,-11.9906,Tx-I-Rx,1,-71.3121,"-7.60000 1.25000 -2.30000, -0.00000 1.16915 1.09577, 6.50000 1.10000 4.00000"
1,-13.3763,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -3.66445 1.20813 7.61976, 2.13582 1.14643 -7.00000, 6.50000 1.10000 4.00000"
1,-16.5036,Tx-I-I-I-Rx,3,-71.3121,"-7.60000 1.25000 -2.30000, -8.00000 1.24597 -1.34604, -4.24116 1.20813 7.61976, 1.88821 1.14643 -7.00000, 6.50000 1.10000 4.00000"
1,-16.5383,Tx-I-I-I-I-Rx,4,-71.3121,"-7.60000 1.25000 -2.30000, -1.62382 1.88966 -4.00000, 8.74929 3.00000 -1.04932, 10.00000 2.86614 -0.69357, -0.00000 1.79575 2.15102, 6.50000 1.10000 4.00000"
1,-17.1629,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -6.00589 0.92557 -3.15236, -0.00000 1.00934 0.28249, 6.50000 1.10000 4.00000"
1,-17.3182,Tx-I-I-I-I-Rx,4,-71.3121,"-7.60000 1.25000 -2.30000, -8.00000 1.34797 -1.32563, -4.17220 2.28568 8.00000, -1.25631 3.00000 0.89624, 1.98482 2.20607 -7.00000, 6.50000 1.10000 4.00000"
1,-18.2758,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -5.12892 1.22370 -4.00000, -0.00000 1.16913 -0.47163, 6.50000 1.10000 4.00000"
1,-19.1033,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -0.09999 0.00000 1.05106, -0.00000 0.01666 1.09573, 6.50000 1.10000 4.00000"
1,-19.8472,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -8.00000 1.24597 -2.13089, -0.00000 1.16541 1.25168, 6.50000 1.10000 4.00000"
1,-23.8313,Tx-I-I-Rx,2,-71.3121,"-7.60000 1.25000 -2.30000, -0.83985 3.00000 0.72050, -0.00000 2.78260 1.09574, 6.50000 1.10000 4.00000"
