Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,-2.2547,Tx-I-Rx,1,-84.0446,"-3.50000 0.50000 5.00000, -5.27848 3.00000 0.82096, -6.55900 0.90000 -2.18800"
1,-9.6277,Tx-I-I-I-I-Rx,4,-84.0446,"-3.50000 0.50000 5.00000, -2.69338 0.45730 4.60946, -0.00000 0.59976 3.30543, -8.00000 1.02298 -0.56789, -5.60640 1.14960 -1.72678, -6.55900 0.90000 -2.18800"
1,0.0000,Tx-I-I-Rx,2,-84.0446,"-3.50000 0.50000 5.00000, -0.00000 0.68932 3.05595, -8.00000 1.12205 -1.38760, -6.55900 0.90000 -2.18800"
2,-2.1703,Tx-I-I-Rx,2,-82.0239,"-3.50000 0.50000 5.00000, -2.93720 0.45730 4.60948, -0.00000 0.67996 2.57140, -6.85900 0.90000 -2.18800"
2,0.0000,Tx-I-Rx,1,-82.0239,"-3.50000 0.50000 5.00000, -0.00000 0.73651 2.57140, -6.85900 0.90000 -2.18800"
3,0.0000,Tx-I-Rx,1,-80.7934,"-3.50000 0.50000 5.00000, -0.00000 0.72985 2.63976, -7.15900 0.90000 -2.18800"
4,0.0000,Tx-I-Rx,1,-83.6268,"-3.50000 0.50000 5.00000, -0.00000 0.72356 2.70437, -7.45900 0.90000 -2.18800"
5,0.0000,Tx-I-Rx,1,-81.5104,"-3.50000 0.50000 5.00000, -0.00000 0.71760 2.76554, -7.75900 0.90000 -2.18800"
6,0.0000,Tx-I-Rx,1,-82.2991,"-3.50000 0.50000 5.00000, -8.00000 0.83928 3.03305, -8.05900 0.90000 -2.18800"
6,-8.2458,Tx-I-Rx,1,-82.2991,"-3.50000 0.50000 5.00000, -8.00000 3.00000 -0.32503, -8.05900 0.90000 -2.18800"
7,-7.3575,Tx-I-I-I-I-Rx,4,-83.2443,"-3.50000 0.50000 5.00000, -2.69338 0.45730 4.59316, -0.00000 0.59976 3.23470, -8.00000 1.02298 -0.80028, -5.60640 1.14961 -2.00753, -6.55900 0.90000 -2.48800"
7,-1.6617,Tx-I-Rx,1,-83.2443,"-3.50000 0.50000 5.00000, -5.27848 3.00000 0.64654, -6.55900 0.90000 -2.48800"
7,0.0000,Tx-I-I-Rx,2,-83.2443,"-3.50000 0.50000 5.00000, -4.49260 0.61695 6.87899, -8.00000 1.03021 0.23977, -6.55900 0.90000 -2.48800"
8,0.0000,Tx-I-Rx,1,-81.1573,"-3.50000 0.50000 5.00000, -5.45289 3.00000 0.64654, -6.85900 0.90000 -2.48800"
8,-7.7692,Tx-I-I-I-I-Rx,4,-81.1573,"-3.50000 0.50000 5.00000, -0.00000 1.86983 1.85329, -2.88755 3.00000 -0.74282, -6.51035 1.58211 -4.00000, -7.54911 1.17557 -3.06614, -6.85900 0.90000 -2.48800"
8,-8.9332,Tx-I-I-Rx,2,-81.1573,"-3.50000 0.50000 5.00000, -5.07403 3.00000 1.49111, -6.53316 0.68249 -1.76164, -6.85900 0.90000 -2.48800"
9,0.0000,Tx-I-Rx,1,-80.2255,"-3.50000 0.50000 5.00000, -0.00000 0.72985 2.54125, -7.15900 0.90000 -2.48800"
10,0.0000,Tx-I-Rx,1,-80.4010,"-3.50000 0.50000 5.00000, -0.00000 0.72356 2.60856, -7.45900 0.90000 -2.48800"
11,0.0000,Tx-I-Rx,1,-80.5102,"-3.50000 0.50000 5.00000, -0.00000 0.71760 2.67228, -7.75900 0.90000 -2.48800"
11,-7.2636,Tx-I-I-Rx,2,-80.5102,"-3.50000 0.50000 5.00000, -0.00000 0.70867 2.76783, -8.00000 1.18563 -2.33430, -7.75900 0.90000 -2.48800"
12,0.0000,Tx-I-Rx,1,-81.2650,"-3.50000 0.50000 5.00000, -8.00000 0.82953 3.03305, -8.05900 0.90000 -2.48800"
12,-4.5529,Tx-I-Rx,1,-81.2650,"-3.50000 0.50000 5.00000, -8.00000 0.74599 6.03305, -8.05900 0.90000 -2.48800"
